,Job Title,Company Name: ,Location,Country,Employment Type,Experience Needed,Description,Requirments
0,Senior/Mid Senior Deep Learning Engineer,Confidential,"Mokattam, Cairo", Egypt,['Full Time'],Experienced,"['Reviewing, replicating, and mapping research papers when needed', 'Staying up to date with state-of-the-art deep learning tools and papers on application adopted by the company', 'Applying and ensuring best practices in terms of deep learning code reproducibility, automation, deployment, and maintainability', 'Applying and ensuring best practices in terms of data collection, storage, and pre-processing', 'Continuously reviewing and optimizing existing models and pipelines']","['Completed Master’s degree or higher in Artificial Intelligence, Computer Science or similar', 'Significant (4+ years) industry experience bringing large-scale deep learning models into production (at a senior level) - Experience in MLOps is a must', 'Experience with dealing with real-world, noisy and often limited datasets', 'Strong fundamentals in probability theory, information theory, statistics, linear algebra, computer science, data structures, code optimization and algorithms', 'Deep familiarity/experience with Python, PyTorch/TensorFlow/ transformers (hugging face), pandas, numpy, etc.; embodied in Published paper implementations, Open Source Contributions, Github Projects, etc', 'Functional design, and/or translating of a functional design into a solution', 'Results-oriented, proactive and decisive', 'Strong communication and ownership skills', 'A curious, creative, and analytical mindset']"
1,ML Engineer - Recommendation System,TensorGraph,"Maadi, Cairo", Egypt,"['Part Time', 'Freelance / Project']",Entry Level,"['Build and Improve the existing recommendation system', 'Design and implement the new approaches in recommendation systems', 'Set the System evaluation KPIs and Golden data', 'Analysis the historical data to choose the right approach']","['BA in Computer Science and similar fields', 'has 1+ years in recommendations systems', 'Have a strong background in machine learning, with experience and expertise in personalized machine learning algorithms, especially recommender systems', 'Nice to have experience in Conversational AI Models and working with Language understanding Models', 'Experience with python, Nodejs', 'Experience with ML frameworks and libraries', 'Ability to write “Robust and testable codes', 'Statistical Analysis']"
2,Internship - Graduates,Trufla,"Heliopolis, Cairo", Egypt,['Internship'],Entry Level,[],[]
3,Data Scientist,Confidential,Riyadh, Saudi Arabia,['Full Time'],Experienced,"['Selecting features, building, and optimizing models using machine learningtechniques', 'Data mining using state-of-the-art methods', 'Enhancing data collection procedures to include information that is relevant forbuilding analytic systems', 'Processing, cleansing, and verifying the integrity of data used for analysis', 'Doing ad-hoc analysis and presenting results in a clear manner', 'Creating automated anomaly detection systems and constant tracking of itsperformance', 'Provide clear insights that help define strategy, and facilitate speed and accuracy ofdecision-making, and ultimately make a positive impact on the business', 'Work in the opportunity, investigate, and explore phases of product development toidentify the biggest and most valuable consumer needs and motivations', 'Have a strong toolkit for quantitative and qualitative methods to apply in problem-solving', 'Translate business questions into learning plans and then lead, develop, design andconduct primary research studies to enable the synthesis of data to develop insights', 'Ensure effective communication of market data, including synthesizing them intoinsights for action', 'Manage third-party vendors to ensure learning objectives are met, and quality researchstandards are maintained', 'Find opportunities to develop and champion the use of new research methods toaddress unique research challenges and evolving trends', 'Remain abreast of best practices within the discipline and research methodsemployed, including the latest evolution of approaches as the industry develops', 'Coordinate multiple tasks simultaneously, meeting deadlines and workingproductively and efficiently under pressure']","['Strong applied mathematical and statistical skills regardless of the tools', 'Excellent written and verbal communication skills for coordinating across teams', 'Knowledge of a variety of machine learning techniques (clustering, decision treelearning, artificial neural networks, etc.) and their real-world advantages/drawbacks', 'Data-oriented personality', 'Good applied statistics skills, such as distributions, statistical testing, regression, etc', 'Good understanding of data mart schemas, and OLAP tools', 'Good understanding of data visualization concepts and tools', 'Good understanding of using query languages such as SQL', 'Broad understanding of databases (e.g. Oracle PL/SQL, Mongo), and high-the performance or distributed processing (e.g. Hadoop, Spark', 'Deep understanding of probability, statistics and machine learning theory', 'Experience with Python, Machine learning libraries, and data mining', 'Good scripting and programming skills Python, R Data-oriented personality', 'Must have a good understanding of machine/deep learning techniques and algorithms(SVM, Naive Bayes, Decision Forests, Neural Networks, etc', 'Applied experience with machine learning on large datasets', 'Demonstrated skills in selecting the right statistical tools given a data analysisproblem', 'Experience with statistical software (e.g., R, Julia, MATLAB, pandas) and databaselanguages (e.g., SQL', 'Advanced level in Microsoft Excel', 'Build, test and deliver new analytics/models using the new data sets as required tounderpin use case', 'Excellent understanding of machine learning techniques and algorithms such as k-NN, Naive Bayes, SVM, Decision Forests, etc. Experience with common data sciencetoolkits']"
4,Senior Data Scientist,BBI-Consultancy,"Nasr City, Cairo", Egypt,['Full Time'],Experienced,"['Identify valuable data sources and automate collection processes', 'Undertake preprocessing of structured and unstructured data', 'Analyze large amounts of information to discover trends and patterns', 'Build predictive models and machine-learning algorithms', 'Combine models through ensemble modeling', 'Present information using data visualization techniques', 'Propose solutions and strategies to business challenges', 'Collaborate with engineering and product development teams']","['BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred', 'Years of proven experience as a Data Scientist', 'Experience in DataRobot or any similar tool', 'Experience in data mining', 'Understanding of machine-learning and operations research', 'Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset', 'Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop', 'Analytical mind and business acumen', 'Strong math skills (e.g. statistics, algebra', 'Problem-solving aptitude', 'Excellent communication and presentation skills']"
5,Data Science Instructor,EpsilonAI,"Nasr City, Cairo", Egypt,"['Full Time', 'Part Time']",Entry Level,"['Epsilon AI Institute is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking manner', 'The successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and Programming', 'Engage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays', ""Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success"", ""Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind""]","['Expert level in Python including Numpy, Pandas, Scikit-learn', 'Proficiency in Relational and non-relational databases, and Cloud computing with in-depth knowledge of machine learning and artificial intelligence libraries, and APIs', 'Strong foundation in Mathematics', 'Expert level in MLlib', 'Excellent programming skills (including OOP and preferably functional programming', 'Solid Understanding of Machine Learning Models; Data Preparation, Cleaning up data; Mathematics; Model Deployment', 'Solid understanding of Data Science techniques', 'Excellent software engineering skills (Agile methodologies, Git, continuous development, etc', 'Lead project sprints, helping Trainees scope and execute larger technical projects to demonstrate mastery of each content module', 'Diligently respond to Trainees needs and questions during the course schedule', 'Acts as a technical mentor guiding Trainees on a technical journey of discovery', 'Working experience in data science', 'Bachelor’s degree (or higher) in -Computer Science or related field preferred', 'A minimum of 1-year experience with research/development/application of Data Science', 'Experience using technology and interactive electronic materials to support teaching and learning', 'Experience using a Learning Management System such as Google Classroom, Canvas']"
6,Data Scientist,Seoudi Supermarket,"Sheikh Zayed, Giza", Egypt,['Full Time'],Entry Level,"['Analyze raw data: assessing quality, cleansing, structuring for downstream processing', 'Design accurate and scalable prediction algorithms', 'Collaborate with engineering team to bring analytical prototypes to production', 'Generate actionable insights for business improvements']","[""Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc"", ""At least 1 - 4 years' of experience in quantitative analytics or data modeling"", 'Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms', 'Fluency in a programming language (Python, C,C++, Java, SQL', 'Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau']"
7,Senior Data Engineer,Worex,"Maadi, Cairo", Egypt,['Full Time'],Experienced,"['New data integrations, DataOps, troubleshooting & automation & Teradata migration and transformations', 'Create and maintain, with the team, an optimal data pipeline architecture', 'Build, deploy, and maintain distributed data analytics systems using Hadoop/Spark, Python, Java , Go , Scala, and C/C', 'Assemble large, complex data sets that meet functional / non-functional requirements', 'Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc', 'Build the infrastructure required for optimal loading of data from a wide variety of data sources using SQL and big data technologies', 'Work with stakeholders including the Data and Design teams to assist with data-related technical issues and support their data infrastructure needs', 'Identify gaps and improve the platform’s quality, robustness, and speed', 'Meet customer requirements in terms of availability, reliability, functionality, and performance']","['Results-oriented, determined and having a self-driven attitude', 'Deep Understanding of CS (Data Structure , Algorithms , Data Sterilization , Discreate Mathematics , CLI , Shell Scripting , networking, and corn jobs', 'Proven Experience in programming languages like (Java , Python , Scala', 'Deep understanding of relational and non-relational databases', 'Basics understanding and implementing Machine Learning (TensorFlow, Spark MiLB', 'Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. In both batch and real-time data integration']"
8,Mechanical Production Engineer,ATA Electronics,"th of October, Giza", Egypt,['Full Time'],Entry Level,"['Responsible for achieving production plan for each production line in accordance to predetermined standards and product special controls', 'Work effectively with team members of all disciplines, working on increasing production capacity and decreasing waste and Proficiency in MS Office', 'Cooperate and communicate effectively with production team', 'Follow up maintenance process to raise efficiency', 'Reviewing the materials needed for the production process', 'Reporting emergency equipment malfunctions', 'Participate in the development of manufacturing processes by studying production requirements', 'Fulfill any additional tasks as per job need', 'Review product design for compliance with engineering principles, company standards and customer contract requirements, and related specifications', 'Understand mold making, prototyping and product testing']","['Experience 0 - to 5 years in metal forming and press machines', 'Familiarity with various manufacturing methods (e.g., molding, welding, soldering, adhesives, machining, stamping, cables manufacturing, injection machines and forming', 'Bachelor’s degree in mechanical engineering is a must', 'Good knowledge of Solid\xa0works, AutoCAD, CorelDraw, Sheet Metal and Microsoft office', 'Very good command of English', 'Learning & researching', 'Decision making ability and leadership skills']"
9,Mechanical Engineer ( Production,Eagle Chemicals,"th of October, Giza", Egypt,['Full Time'],Entry Level,"['Perform overall quality control of the work (budget, schedule, plans, personnel’s performance) and report regularly on project status', 'Develop installation bid packages, get quotes and order', 'Cooperate and communicate effectively with production team', 'Follow up maintenance process to raise efficiency', 'Upgrade existing equipment to improve efficiency']","['Bachelor’s degree in mechanical engineering', 'to 3 years’ experience', 'Professional user of AutoCAD and Microsoft office', 'Decision making ability and leadership skills', 'Very good command of English', 'Learning & Researching', 'Decision making ability and leadership skills']"
