,Job Title,Company Name: ,Location,Country,Employment Type,Experience Needed,Description,Requirments
0,Senior Data Analyst - Cairo,Confidential,Cairo, Egypt,['Full Time'],Experienced,"['Responsible for preparing and analyzing data from all projects covered by RSC ”Remote Support Center” unit', 'Build different types of dashboards and presentations illustrating the situation of the covered projects', 'Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities', 'Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions', 'Design and build technical processes to address business issues', 'Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics', 'Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes', 'Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables', 'Organize and drive successful completion of data insight initiatives through effective management of analyst and data employees and effective collaboration with stakeholders', 'Communicate results and business impacts of insight initiatives to stakeholders within the company']","['To have good knowledge of Tableau and ERISITE Setup', 'To be Excellent user for MS office package and data management']"
1,Data Analysis Instructor (Excel - Power BI,EpsilonAI,"Nasr City, Cairo", Egypt,"['Full Time', 'Part Time', 'Freelance / Project']",Entry Level,"['As a Data Analysis Instructor, you will guide your Trainees through hands-on exercises, and introduce important tools such as Excel, Power BI', 'conducting and delivering direct training sessions for internal and external clients', 'All of our classes are part-time, designed to fit into your work schedule so you will be able to enjoy teaching while still being able to manage your full-time responsibilities at your current company', 'Ability to connect and build relationships with Trainees and colleagues from varied ethnicities, ages, backgrounds, learning styles, and abilities', 'Delivering training across the entire organization', 'Someone who has an obsession with constantly learning new technologies, and a personal dedication to always be up to date with the very latest coding languages, deployment technologies, and industry best practices', 'prepare and evaluate diploma assignments, graduation projects, and final exams', ""answering trainee's questions and providing quick support"", 'Utilizing a variety of training methodologies, techniques, concepts, learning tools, and practices to ensure maximum effectiveness of training programs']","['Exceptional communication and presentation skills', 'Experience doing quantitative analysis', 'Experience with customer engagements', 'Experience with Microsoft Excel', 'High-level proficiency with SQL based query languages and relational data concepts', 'Experience with business intelligence and data visualization tools (Tableau, Power BI, etc', 'Candidates must have a degree in computer science, information technology, cybersecurity, information systems, or a related field', 'Acts as a technical mentor guiding Trainees on a technical journey of discovery', 'Working experience in business intelligence and data analysis']"
2,Data Analyst,Hands of Hope Physical Therapy & Wellness,"Maadi, Cairo", Egypt,['Full Time'],Experienced,"['Track, collect, and interpret data, then analyze results using statistical techniques', 'Identify, analyze and interpret trends or patterns in complex data set', 'Provide insights and make recommendations based on data analysis', 'Google Analytics and similar platforms to present actionable insights in a visually appealing format', 'Apply Data Cleaning Techniques for historical data', 'Interpret data & analyze results to provide ongoing reports and dashboards', 'Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them', 'Build company balance scorecard model', 'Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions', 'Provide quality assurance of imported data', 'Processing confidential data and information according to guidelines', 'Managing and designing the reporting environment, including data sources, security, and metadata', 'Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems', 'Generating reports from single or multiple systems', 'Troubleshooting the reporting database environment and reports', 'Evaluating changes and updates to source production systems', 'Training end-users on new reports and dashboards', 'Providing technical expertise in data storage structures, data mining, and data cleansing']","['Essential experience in one or more of the data analysis tools (SQL, SPSS, VBA, R, Tableau, SAS, Microsoft Power BI, google data studio', 'years in a data analyst role at least', 'Expert-level proficiency with Excel and PowerPoint. Experience with Google Analytics, and Data Visualization tools', 'Ability to collaborate effectively and work as part of a team', 'Strong attention to detail', 'Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives', 'Collaborative in nature with a passion for developing relationships', 'Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment', 'Ability to work with stakeholders to assess potential risks', 'Ability to analyze existing tools and databases and provide software solution recommendations', 'Ability to translate business requirements into non-technical, lay terms', 'High-level experience in methodologies and processes for managing large-scale databases', 'Demonstrated experience in handling large data sets and relational databases', 'Understanding of addressing and metadata standards', 'High-level written and verbal communication skills']"
3,Data Analyst,Gila Electric,"New Cairo, Cairo", Egypt,['Full Time'],Experienced,"['Interpret data, analyze results using statistical techniques and provide ongoing reports across different levels of the Life division', 'Obtain data from internal data sources and maintain databases/data systems', 'Actively identify, analyze, and interpret trends or patterns in simple to complex data sets', 'Managing master data, including creation, updates, and deletion', 'Managing users and user roles', 'Provide quality assurance of imported data, working with quality assurance analysts if necessary', 'Processing confidential data and information according to guidelines', 'Helping develop reports and analysis', 'Managing and designing the reporting environment, including data sources, security, and metadata', 'Supporting initiatives for data integrity and normalization', 'Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems', 'Generating reports from single or multiple systems', 'Troubleshooting the reporting database environment and reports', 'Evaluating changes and updates to source production systems', 'Training end-users on new reports and dashboards', 'Providing technical expertise in data storage structures, data mining, and data cleansing']","['Bachelor’s degree from an accredited university or college in computer science / Commerce', 'Work experience as a data analyst or in a related field', 'An analytical mindset with problem-solving skills', 'Ability to analyze existing tools and databases and provide software solution recommendations', 'Ability to translate business requirements into non-technical, lay terms', 'High-level experience in methodologies and processes for managing large-scale databases', 'Demonstrated experience in handling large data sets and relational databases', 'High-level written and verbal communication skills']"
4,Senior Data Scientist,Fixed Solutions,"Sheraton, Cairo", Egypt,['Full Time'],Experienced,"['Design and Develop analytical insights based on unstructured and structured data for industry-scaleanalytical solutions on Cloud and on Prem', 'Convert requirements into actual working modules', 'Work with Data Scientists and Distinguished Engineers and Architects to solve problems by using analytics as a tool']","['Required Years of experience: 5+ years of experience', 'Who you are', 'You will be highly hands-on and enjoy keeping up with the latest innovations. With a very good grasp of a broad set of machine learning algorithms and software engineering skills, you will have a machine learning / mathematical / statistical background', 'As a Data scientist you will apply your deep analytics expertise, designing and implementing end to end unstructured data mining of large scale big data platforms. Apply semantic correlation, ontology, and text analytics techniques to analyze un-structured data and identify critical insights', 'You will participate in feature / design discussions / workshop with Architect and the offering Management Teams to come up with innovative solutions that can scale', 'What you know', 'Defining the business problem and working hypothesis', 'Helping to locate/resolve data/quality issues', 'Proficient in the following: Python, R, Java, SQL', 'Proficient at consuming and building REST APIs', 'Proficient at integrating predictive/prescriptive models into applications and processes', 'Training and experience applying probability and statistics', 'Experience in data modeling and evaluation and a deep understanding of supervised andunsupervised machine learning', 'Experience applying mathematical modeling and/or constraint programming to a range ofindustry problems', 'Ability to apply predictive models as input into decision optimization problems', 'Experience building Monte Carlo simulation/optimization for what-if scenario analysis', 'Experience integrating data and the output of predictive and prescriptive models within thecontext of a business problem', 'Proficiency with data parsing, scraping, and wrangling', 'Software life cycle, from analysis, design development, to unit testing, productiondeployment and support']"
5,Data Engineer,Cilantro,"Maadi, Cairo", Egypt,['Full Time'],Entry Level,"['ETL maintenance for data freshness and maximum warehouse uptime', 'Integrate new data sources to ETL', 'Build monitoring dashboards for data delivery and quality', 'Data platform infrastructure maintenance and expansion when necessary', 'Adapting and evolving the data platform based on business requirements', 'Support in analytical dashboards creation and interfaces for stakeholders', 'Support in analytical tools development and maintenance']","['Core understanding of OOP, and preferred proficiency in Python', 'Fair knowledge of SQL', 'Basic understanding of database systems', 'Fair knowledge of cloud providers, preferably GCP', 'Basic understanding of cloud data warehouses, preferably Big Query', 'Experience using Pandas', 'Experience with data workflow orchestration (Airflow', 'Nice to have: Machine learning and predictive analytics algorithms, experience using SQLAlchemy and Flask']"
6,Data Analyst,Lecico Egypt,Alexandria, Egypt,['Full Time'],Experienced,"['Developing and maintaining databases, data systems - reorganizing data in a readable format', 'Performing analysis to assess quality and meaning of data', 'Filter data by reviewing reports and performance indicators to identify and correct code problems', 'Prepare sales trackers for distributors and products daily', 'Prepare some data about stocks to help in giving ideas', 'Analyzing local, national, and global trends that impact both the organization and industry', 'Preparing reports for management stating trends, patterns, and predictions using relevant data']","['Bachelor Degree in any related field', 'An analytical mindset with problem-solving skills', 'Proficient in MS Office (Excel, Access, Word, PowerPoint etc', 'Presentation skills', 'Analytical Skills', 'working experience as a data analyst', 'Attention to details', 'Fluent in English']"
7,Data Analyst - Quality Assurance Department,IdealRatings,"Heliopolis, Cairo", Egypt,['Full Time'],Entry Level,"['Assist in ensuring the quality of large dataset', 'Run analysis to identify the weaknesses of the tested data', 'Execute automated and unautomated test cases, analyze the results, and share the findings', 'Clearly communicate details of issues, severity, and priority']","['years of experience', 'Bachelor’s degree in Business, Finance, Accounting or Economics', 'High researching skills', 'Effective problem solving and strong analytical skills', 'Detail-oriented', 'Dedicated to creativity', 'Capable of handling multiple tasks simultaneously', 'Excellent command of English', 'Excellent communication skills', 'Excellent knowledge of MS Excel']"
8,Senior Data Engineer- Banha,Z2 Data,Qalubia, Egypt,['Full Time'],Experienced,"['The goal is to ensure that information flows timely and securely to and from the organization as well as within', 'Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']","['BS in Engineering or related field', 'Proven experience as \xa0Sr. Engineer, from 3 to 5 years experience in the same field', 'Excellent understanding of data administration and management functions (collection, analysis, distribution etc', 'Familiarity with modern database and information system technologies', 'Proficient in MS Office (Excel, Access, Word, PowerPoint etc', 'An analytical mindset with problem-solving skills', 'Excellent communication and collaboration skills you should be able to fully grasp the complexity of data management']"
9,Junior Data Engineer - Benha,Z2 Data,"Banha, Qalubia", Egypt,['Full Time'],Entry Level,"['The goal is to ensure that information flows timely and securely to and from the organization as well as within', 'Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']","['BS in Engineering communication , power , electrical mechatronics', 'Experience', 'understanding of data administration and management functions (collection, analysis, distribution etc', 'Proficient in MS Office (Excel, Access, Word, PowerPoint etc', 'An analytical mindset with problem-solving skills', 'Excellent communication and collaboration skills you should be able to fully grasp the complexity of data management']"
